ClassName,Category,MaxPriceThreshold,MinPriceThreshold,PriceSource
"BRDM2_RF","Armored",350000,245000,"category default"
"BRDM2_RF_camo","Armored",350000,245000,"category default"
"BRDM2_RF_winter","Armored",350000,245000,"category default"
"BTR_80","Armored",255000,178500,"RUSForma trader list"
"BTR_80_camo","Armored",350000,245000,"category default"
"BTR_80_camo2","Armored",255000,178500,"RUSForma trader list"
"BTR_80_P","Armored",350000,245000,"category default"
"BTR_80_P_camo","Armored",350000,245000,"category default"
"BTR_80_P_camo2","Armored",350000,245000,"category default"
"BTR_80_P_rust","Armored",350000,245000,"category default"
"BTR_80_rust","Armored",350000,245000,"category default"
"Gaz_233002_Tiger","Armored",350000,245000,"category default"
"Gaz_233002_Tiger_camo","Armored",350000,245000,"category default"
"MTLB_RF","Armored",350000,245000,"category default"
"MTLB_RF_camo","Armored",350000,245000,"category default"
"MTLB_RF_camo2","Armored",350000,245000,"category default"
"VBL","Armored",235000,164500,"RUSForma trader list"
"AZLK_2141RF","Civilian",170000,119000,"category default"
"AZLK_2141RF_beige","Civilian",170000,119000,"category default"
"AZLK_2141RF_Lettuce","Civilian",170000,119000,"category default"
"AZLK_2141RF_red","Civilian",170000,119000,"category default"
"azlk_400","Civilian",170000,119000,"category default"
"azlk_400_beige","Civilian",170000,119000,"category default"
"azlk_400_green","Civilian",170000,119000,"category default"
"GAZ_12","Civilian",170000,119000,"category default"
"GAZ_12_white","Civilian",170000,119000,"category default"
"GAZ_13_Chaika","Civilian",170000,119000,"category default"
"GAZ_13_Chaika_black_rust","Civilian",170000,119000,"category default"
"GAZ_13_Chaika_white","Civilian",170000,119000,"category default"
"GAZ_13_Chaika_white_rust","Civilian",170000,119000,"category default"
"GAZ_3110_volga","Civilian",170000,119000,"RUSForma trader list"
"GAZ_3110_volga_black","Civilian",170000,119000,"RUSForma trader list"
"GAZ_3110_volga_taxi","Civilian",170000,119000,"RUSForma trader list"
"GAZ_3110_volga_white","Civilian",170000,119000,"RUSForma trader list"
"Gaz_53RF","Civilian",170000,119000,"category default"
"GAZ_M20","Civilian",170000,119000,"RUSForma trader list"
"GAZ_M20_black","Civilian",170000,119000,"RUSForma trader list"
"GAZ_M20_blue","Civilian",170000,119000,"RUSForma trader list"
"GAZ_M20_green","Civilian",170000,119000,"RUSForma trader list"
"GAZ_M20_red","Civilian",170000,119000,"RUSForma trader list"
"GAZ_M20_white","Civilian",170000,119000,"RUSForma trader list"
"GAZ21_Volga","Civilian",170000,119000,"category default"
"GAZ21_Volga_black","Civilian",170000,119000,"category default"
"GAZ21_Volga_green","Civilian",170000,119000,"category default"
"IJ_2125_Kombi","Civilian",175000,122500,"RUSForma trader list"
"IJ_2125_Kombi_beg","Civilian",175000,122500,"RUSForma trader list"
"IJ_2125_Kombi_green","Civilian",175000,122500,"RUSForma trader list"
"IJ_2125_Kombi_orange","Civilian",175000,122500,"RUSForma trader list"
"IJ_2125_Kombi_red","Civilian",170000,119000,"category default"
"IJ_2140_SL","Civilian",170000,119000,"category default"
"IJ_2140_SL_blue","Civilian",170000,119000,"category default"
"IJ_2140_SL_green","Civilian",170000,119000,"category default"
"IJ_2140_SL_red","Civilian",170000,119000,"category default"
"IJ_2140_SLGAI","Civilian",170000,119000,"category default"
"moskvich_407","Civilian",170000,119000,"category default"
"moskvich_407_double_blue","Civilian",170000,119000,"category default"
"moskvich_407_double_red","Civilian",170000,119000,"category default"
"moskvich_407_grey","Civilian",170000,119000,"category default"
"opel_blitz","Civilian",170000,119000,"category default"
"VAZ_2104RF","Civilian",170000,119000,"category default"
"VAZ_2104RF_beige","Civilian",170000,119000,"category default"
"VAZ_2104RF_black","Civilian",170000,119000,"category default"
"VAZ_2104RF_blue","Civilian",170000,119000,"category default"
"VAZ_2105_RUS","Civilian",170000,119000,"category default"
"VAZ_2105_RUS_black","Civilian",170000,119000,"category default"
"VAZ_2105_RUS_cherry","Civilian",170000,119000,"category default"
"VAZ_2105_RUS_green","Civilian",170000,119000,"category default"
"VAZ_2105_RUS_red","Civilian",170000,119000,"category default"
"VAZ_2105_RUS_white","Civilian",170000,119000,"category default"
"VAZ_2105_RUS_yellow","Civilian",170000,119000,"category default"
"vaz_2106_RF","Civilian",170000,119000,"category default"
"vaz_2106_RF_light_green","Civilian",170000,119000,"category default"
"vaz_2106_RF_red","Civilian",170000,119000,"category default"
"vaz_2106_RF_white","Civilian",170000,119000,"category default"
"vaz_2106_RF_wine","Civilian",170000,119000,"category default"
"vaz_2106_RF_yellow","Civilian",170000,119000,"category default"
"VAZ_2107RF","Civilian",170000,119000,"category default"
"VAZ_2107RF_black","Civilian",170000,119000,"category default"
"VAZ_2107RF_black_rust","Civilian",170000,119000,"category default"
"VAZ_2107RF_blue","Civilian",170000,119000,"category default"
"VAZ_2107RF_blue_rust","Civilian",170000,119000,"category default"
"VAZ_2107RF_white_rust","Civilian",170000,119000,"category default"
"VAZ_2109_RF","Civilian",170000,119000,"category default"
"VAZ_2109_RF_blue","Civilian",170000,119000,"category default"
"VAZ_2109_RF_blue_rust","Civilian",170000,119000,"category default"
"VAZ_2109_RF_green","Civilian",170000,119000,"category default"
"VAZ_2109_RF_green_rust","Civilian",170000,119000,"category default"
"VAZ_2109_RF_rust","Civilian",170000,119000,"category default"
"VAZ_2109_RF_white","Civilian",170000,119000,"category default"
"VAZ_2109_RF_white_rust","Civilian",170000,119000,"category default"
"VAZ_21099R","Civilian",170000,119000,"category default"
"VAZ_21099R_black","Civilian",170000,119000,"category default"
"VAZ_21099R_blue","Civilian",170000,119000,"category default"
"VAZ_21099R_white","Civilian",170000,119000,"category default"
"Volkswagen_Golf_RUS","Civilian",170000,119000,"category default"
"Volkswagen_Golf_RUS_black","Civilian",170000,119000,"category default"
"Volkswagen_Golf_RUS_blue","Civilian",170000,119000,"category default"
"Volkswagen_Golf_RUS_green","Civilian",170000,119000,"category default"
"Volkswagen_Golf_RUS_rally","Civilian",170000,119000,"category default"
"ZAZ_965","Civilian",170000,119000,"category default"
"ZAZ_965_bk","Civilian",170000,119000,"category default"
"ZAZ_965_green","Civilian",170000,119000,"category default"
"ZAZ_965_red","Civilian",170000,119000,"category default"
"ZAZ_968","Civilian",170000,119000,"category default"
"ZAZ_968_green","Civilian",170000,119000,"category default"
"ZAZ_968_yellow","Civilian",170000,119000,"category default"
"ZAZ_968M","Civilian",175000,122500,"RUSForma trader list"
"ZAZ_968M_black","Civilian",170000,119000,"category default"
"ZAZ_968M_red","Civilian",170000,119000,"category default"
"artillery_tractor_camo","Military",250000,175000,"category default"
"artillery_tractor_kung_camo","Military",250000,175000,"category default"
"AZLK_2141RF_milicia","Military",250000,175000,"category default"
"AZLK_2141RF_milicia_PG","Military",250000,175000,"category default"
"GAZ_33081_camo","Military",250000,175000,"category default"
"GAZ_66_camo","Military",250000,175000,"category default"
"GAZ_66_kuzov_camo","Military",250000,175000,"category default"
"GAZ_66_kuzov_zima_camo","Military",250000,175000,"category default"
"GAZ_66_zima_camo","Military",250000,175000,"category default"
"LIAZ_677RF_camo","Military",250000,175000,"category default"
"Niva2329_camo","Military",170000,119000,"RUSForma trader list"
